date,video_id,url,title,topic,first_scene_text,voice,rate,pitch,subtitle_theme,music_mood,duration_s,num_scenes
2026-06-21 18:05,gjWgPQVU6Xk,https://www.youtube.com/watch?v=gjWgPQVU6Xk,Dopamine Trap,how dopamine addiction is engineered to control you,One study found something disturbing about this...,en-US-ChristopherNeural,+0%,-8Hz,blood_red,tense,49.0,10
2026-06-21 21:37,Cc4gnHND1XY,https://www.youtube.com/watch?v=Cc4gnHND1XY,Subconscious Deceit,subconscious mind tricks you never knew about,"Scientists found the real reason, and it is not what you think...",en-US-EricNeural,+5%,-12Hz,toxic_green,tense,50.1,10
2026-06-21 22:07,BcfaQU0LrC4,https://www.youtube.com/watch?v=BcfaQU0LrC4,Brain Betrayal,why your brain sabotages your own happiness,Here is the exact moment your brain betrays you...,en-US-GuyNeural,-5%,-10Hz,blood_red,ethereal,46.9,10
2026-06-21 22:50,1pO0M6MWyDE,https://www.youtube.com/watch?v=1pO0M6MWyDE,Dark Persuasion,dark persuasion techniques in advertising,One study found something disturbing about this...,en-GB-RyanNeural,-3%,-6Hz,gold,ethereal,42.5,10
2026-06-22 05:17,LqpFtm1jh4U,https://www.youtube.com/watch?v=LqpFtm1jh4U,Dark Biases,dark cognitive biases controlling your decisions,"Scientists found the real reason, and it is not what you think...",en-US-EricNeural,+5%,-12Hz,electric_blue,ethereal,45.4,10
2026-06-22 06:51,a-THvzUOFHE,https://www.youtube.com/watch?v=a-THvzUOFHE,Fear Controls,how fear silently controls every decision,Here is what is actually happening when fear takes over...,en-GB-RyanNeural,-3%,-6Hz,toxic_green,ominous,46.1,10
2026-06-22 09:41,99Id82lTXlY,https://www.youtube.com/watch?v=99Id82lTXlY,Gaslighted,signs someone is gaslighting you right now,"Your brain does this on purpose, and here is why...",en-GB-RyanNeural,-3%,-6Hz,violet,ominous,41.7,10
2026-06-22 11:31,w4_PO5u_wMw,https://www.youtube.com/watch?v=w4_PO5u_wMw,Mind Games,manipulation tactics people use daily,Watch what happens in your brain right before you fail...,en-GB-RyanNeural,-3%,-6Hz,electric_blue,tense,40.2,10
2026-06-22 17:39,zwOvPQC9G3U,https://www.youtube.com/watch?v=zwOvPQC9G3U,Shadow Mind,subconscious mind tricks you never knew about,"This pattern repeats every single time, watch closely...",en-GB-RyanNeural,-3%,-6Hz,electric_blue,ominous,45.5,10
2026-06-22 18:09,4V6T63VSaKw,https://www.youtube.com/watch?v=4V6T63VSaKw,Dark Social,dark side of social media on your brain,One study found something disturbing about this...,en-GB-RyanNeural,-3%,-6Hz,electric_blue,tense,39.6,10
2026-06-22 21:41,DE_-0Ya3DHI,https://www.youtube.com/watch?v=DE_-0Ya3DHI,Anchored,how anchoring bias controls every purchase you make,en-GB-RyanNeural,toxic_green,tense,29.3,7
